fileName,realms,mainList,spellList,level,spellName,details,areaOfEffect,duration,range,type
EvilChanneling,引導,邪惡引導,疫病,0,說明,注意：通過簡單(+20)醫療技能，能將這些痛苦識別為魔法而不是自然疾病的結果。在選擇過敏源時，施法者不能選擇目標經常接觸的東西。 例如，施法者不能選擇目標對自己、空氣、污垢等過敏。一旦感染，疾病就無法用解除法術驅散。 然而，這能透過移除疾病或類似法術治癒。除非另有說明，此列表的疾病不具傳染性。並且疾病效果會在施法後 10 小時內生效。,,,,
EvilChanneling,引導,邪惡引導,疫病,1,寒顫症,目標感冒。 將其視為一種不會消失的輕度肺炎疾病。 （請參閱 RMCL，第 15.6 節。）,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,2,色弱病,目標色盲了。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,3,嗅覺喪失,目標沒有嗅覺。 且無法透過嗅覺來感知，所有涉及嗅覺和其他感官的意識檢定 -25。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,4,聽力喪失,目標沒有聽覺。 且無法透過聽覺來感知，所有涉及聽覺和其他感官的意識檢定 -25。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,5,舌頭腐爛,1週後，目標的舌頭會腐爛。 當舌頭完全消失時，目標將無法說話。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,6,氣喘病,目標患有嚴重氣喘。 對於每輪的體力消耗（例如奔跑或近戰），目標必須進行耐力檢定。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,7,麻風病,目標患上麻風病。 這會導致四肢逐漸失去感覺（和血流）。 每天，目標所有涉及觸摸的察覺都會受到累積的 -1 減值，最多 -25。 同樣，根據目標外觀（例如魅力檢定），也會受到累積的 -1 減值，最多 -50。 麻風病1週後，由於失去知覺，對目標的所有傷害減半。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,8,輕微過敏,目標對施法者選擇的物質產生輕微過敏。 當有這種物質時，目標會因為流鼻水、打噴嚏等分心而每輪損失 1 AP。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,9,根部腐爛,任何一株植物的根部枯萎死亡，並且無法長出新的根部。 植物最終會死亡。,1 植物,P,觸碰,F
EvilChanneling,引導,邪惡引導,疫病,10,血友病,目標成為血友病患者。 目標受到的所有傷害都會加倍，並且生命值恢復速度是正常速度的一半。 目標進行的所有止血嘗試都有 -30 減值，甚至以魔法治療的每輪流血，也比平常少 1 點。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,11,瘧疾,目標感染瘧疾；在最初的高燒、譫妄、昏迷和喪失能力（持續 1 + 2d10 天）之後，目標將隨機「復發」，類似於最初的發作症狀（每月復發的可能性為 5%）。 但假設目標在發作的那一輪沒有得到護理，那麼在此期間有 99% 機率死亡（如果給予足夠的醫療護理，則只有 1% 機率）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,12,枯萎之手,施法者能立即殺死他觸碰到的任何一株植物。,1 植物,P,觸碰,F
EvilChanneling,引導,邪惡引導,疫病,13,癲癇症,目標患有癲癇症；在緊張的情況下，他有 5% 機率癲癇發作2d10輪。如果有人能夠提供護理（任何具有醫療等級的人都可以嘗試），則目標有 1% 機率因某個物體擊中自己而造成A級鈍擊重擊；如果沒人護理，則有 20% 機率。 無論如何，他都會被視為眩暈（-75）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,14,肺炎症,目標得肺炎；如果目標保持溫暖且完全不動2週，他只有25%機率死亡（如果不治療則有50%機率）。 死亡機率會根據目標的體質加值進行修改（例如，假設目標體質加值為 +7，不治療的死亡率是 43%）。 如果目標在這2週內存活下來，則這個持續症狀會被視為輕度肺炎疾病（RMCL，第 15.6 節）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,15,嚴重過敏,與輕微過敏一樣，但每輪損失 2 AP。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,16,病原者I,目標患有此列表中最高 5 級的任何一種疾病（施法者選擇）。 此外，目標具有傳染性。 所有接觸目標 (5'R) 的人都必須進行 RR（如果僅靠近目標則有 +25，接觸到目標則為 +0，有密切接觸則為 -25）。 最初的目標第一次RR成功，他就不會受影響，但必須進行第二次 RR，否則仍然是病原者。 所有從目標身上感染疾病的人本身並不具傳染性。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,17,象皮病,目標得象皮病； 他的四肢之一（頭部外）腫脹並增大到正常大小的5倍。 確切的效果應該由GM決定（但肢體會完全無用）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,18,狼化症,在下次滿月升起時，目標變成下等狼人（參見生物法則）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,19,病原者II,與病原者I一樣，但法術能高達10級。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,20,白血病,目標患上白血病； 他將以每天 2% 的速度虛弱（-2／天，累計，所有行動）。 當總數達到 100%（-100 減值）時，目標就會死亡。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,25,病原者III,與病原者I一樣，但法術能高達15級。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,30,狂犬病,目標感染狂犬病；21 天沒有明顯效果後，疾病開始發作。目標的器官收縮；他口吐白沫，變得非常口渴並且劇烈；任何被他咬傷或抓傷的人都必須抵抗或感染此疾病。 目標在疾病發作後 5-7 天死亡。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,35,致殘過敏,與輕微過敏一樣，但每輪損失 3 AP。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,40,真．狼化症,在下個滿月升起時，目標成為高等狼人（參見生物法則）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,疫病,50,瘟疫,目標得了「瘟疫」。 如果 RR 失敗，10 分鐘後有 95% 機率死亡。 在另外 5% 的情況下，他認為自己成功抵抗了（並且沒有受到任何影響），但成為病原者。 任何進入其 5' 內的人都必須抵抗（如果僅靠近目標則有 +25，接觸到目標則為 +0，有密切接觸則為 -25），並且獲得與初始目標相同的死亡率。 只有最初病原者才會傳染。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,創傷,0,說明,注意：此列表中所有法術的範圍均為 2'。 在近戰中，假定你每輪與對手的距離在 2' 以內。有關生命流失的註釋，請參閱第 10.12 節。,,,,
EvilChanneling,引導,邪惡引導,創傷,1,造成傷勢I*,目標承受 1d10 傷害。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,2,疲倦術*,目標承受疲勞檢定失敗的結果（導致 -10 疲勞減值，如果目標超過-50疲勞減值則成為受傷減值）。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,3,出血術I*,目標承受流血 1／每輪。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,4,造成傷勢III*,目標承受 3d10 傷害。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,5,感官受損I*,目標的一個外部感官（眼、耳、鼻等）受損。 目標在痊癒之前該器官將失效。 此外，對於涉及該器官的所有行動，獲得 -10／10 失敗差額的修改（僅使用該器官的行動則 -100）。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,6,骨折術I*,目標的一個肢體發生線性骨折有 -20 減值。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,7,出血術III*,目標承受流血 3／每輪。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,8,造成傷勢V*,目標承受 5d10 傷害。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,9,感官受損II*,與感官受損I一樣，但影響2個感官。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,10,失衡術*,目標失衡。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,11,造成傷勢VII*,目標承受 7d10 傷害。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,12,生命流失I*,目標的體質加值 -1。,1 目標,1 天/1 失敗差額,2',F
EvilChanneling,引導,邪惡引導,創傷,13,骨折術II*,目標的一個肢體發生線性骨折有 -40 減值。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,14,出血術V*,目標承受流血 5／每輪。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,15,造成傷勢X*,目標承受 10d10 傷害。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,16,生命流失II*,目標的體質加值 -2。,1 目標,1 天/1 失敗差額,2',F
EvilChanneling,引導,邪惡引導,創傷,17,骨折術III*,目標的一個肢體發生線性骨折有 -60 減值。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,18,肌肉痙攣*,目標手臂痙攣，導致他手中握著的任何東西掉落。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,19,生命流失III*,目標的體質加值 -3。,1 目標,1 天/1 失敗差額,2',F
EvilChanneling,引導,邪惡引導,創傷,20,造成傷勢XV*,目標承受 15d10 傷害。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,25,真．生命流失*,目標承受 -1／每5級的體質加值減值（如果施法者等級為 25 級，則 -5）。,1 目標,1 天/1 失敗差額,2',F
EvilChanneling,引導,邪惡引導,創傷,30,真．出血術*,目標每輪將受到流血1／每5級（如果施法者為 30 級，目標受到流血6／每輪）。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,35,真．骨折術*,目標的一個肢體發生線性骨折有 -100 減值。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,創傷,40,癱瘓術*,目標遭受脊椎損傷，導致腰部以下癱瘓（如果 RR 失敗 25 或以下）或頸部以下癱瘓（如果 RR 失敗 26 或以上）。 目標倒在地上，並且對於可進行的活動有 -50 減值。,1 目標,P,2',F
